stable_id,来源分类,原始标签,内部五轴,标准名称,capability_state,是否进入精简V1,是否体型相关,依赖条件,gap_type,缺口去向,evidence_refs,supporting_asset_ids,代表性成品或测试,能力边界,真源路径,source_sha256
CAT-STYLE-VOICE-01,风格/品牌声音基线,语气轴,style,语气轴,verified,否,否,品牌表达基线已确认,,由品牌表达基线维护，不作为逐次可选项,src/infrastructure/workbench_repository.py::confirm_brand_expression；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-VOICE-02,风格/品牌声音基线,能量轴,style,能量轴,composable,否,否,品牌表达基线已确认,,由品牌表达基线维护，不作为逐次可选项,src/infrastructure/workbench_repository.py::confirm_brand_expression,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-VOICE-03,风格/品牌声音基线,密度轴,style,密度轴,composable,否,否,品牌表达基线已确认,,由品牌表达基线维护，不作为逐次可选项,src/infrastructure/workbench_repository.py::confirm_brand_expression,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-VOICE-04,风格/品牌声音基线,幽默开关,style,幽默开关,composable,否,否,,,由品牌边界与本轮透明转译共同决定，不单列为开关控件,src/infrastructure/workbench_repository.py::confirm_brand_expression；src/brain/content_expression.py::resolve_direction,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-VOICE-05,风格/品牌声音基线,用词红线,style,用词红线,verified,否,否,,,属品牌与事实边界治理，不作为用户可选项,src/tool/llm_gateway/deepseek.py::_deterministic_unit_issues；tests/test_display_vertical_slice.py,,tests/test_display_vertical_slice.py,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-PERSONA-01,风格/表达人设,干货攻略,style,干货攻略,composable,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-PERSONA-02,风格/表达人设,闺蜜聊天,style,闺蜜聊天,composable,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-PERSONA-03,风格/表达人设,高级杂志,style,高级杂志,composable,否,否,,,精简 V1 之外的可组合项；出现真实使用需求后再进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-PERSONA-04,风格/表达人设,真实记录,style,真实记录,composable,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-PERSONA-05,风格/表达人设,情感共鸣,style,情感共鸣,composable,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,共情；不施压的共情陪伴,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
