asset_id,名称,asset_type,category,source_batch,candidate_status,runtime_lifecycle,consumer,applicability,runtime_applicability,supported_products,supported_display_contracts,required_inputs,use_when,avoid_when,not_when,gold_fixture_refs,valid_until,superseded_by,能力边界摘要,真源路径,source_sha256
A-CARE-001,具体商品洗护标签优先于通用纤维护理常识,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""已知具体商品的护理建议""}",,P1_dressing_decision；P2_product_truth,,,,,,,,,不得因为“羊毛通常怎样洗”“棉通常怎样洗”而覆盖具体成衣的结构、染整、辅料和标签要求。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-CARE-002,洗涤、机械作用、温度和干燥方式会共同影响尺寸与外观,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth,,,解释洗后变化和护理代价,,未查看具体洗护标签；把实验程序直接等同家庭实际结果,,,,不得承诺某种材料“绝不缩水/绝不起球”；不得推荐超出标签的更激进处理。；未查看具体洗护标签；把实验程序直接等同家庭实际结果,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-CATEGORY-001,品类名称不能替代具体商品性能,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""garment_conditions"": ""已知具体材料、结构、版型、厚度、开合和使用环境"", ""user_goal"": ""从品类名称推断穿着任务或商品表现""}",,P1_dressing_decision；P2_product_truth,,,需要解释某类服装通常承担什么任务，且具备具体商品结构信息时,,只有营销品类名，没有真实商品资料；试图用通用知识替代商品事实,AB-V17,,,不得写成“风衣一定防风”“针织一定有弹”“西装一定正式”“羽绒服一定最暖”。；只有营销品类名，没有真实商品资料；试图用通用知识替代商品事实,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-CATEGORY-002,品类适用性由任务、结构与环境共同决定,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scene_conditions"": ""场合、活动、温差、携带和穿脱条件可识别"", ""user_goal"": ""判断某品类是否适合具体生活任务""}",,P1_dressing_decision；P2_product_truth；P4_local_response,,,用户需要把服装品类放入真实穿着路径中判断时,,存在明确着装制度或商品本身不具备所需结构；动态环境信息未知却被假定,AB-V10；AB-V17,,,不得用“职业女性就穿西装”“旅行必须冲锋衣”“亲子场景只能穿耐脏休闲装”等模板代替真实任务。；存在明确着装制度或商品本身不具备所需结构；动态环境信息未知却被假定,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-FIT-001,松量是对应部位成衣尺寸与人体尺寸的差，不等于“宽松风格”,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""合身、版型与活动关系""}",,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,,,,,,,不得把正松量自动等同舒适，把负松量自动等同不合身，也不得把造型宽松当作功能松量充分。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-FIT-002,动作舒适取决于局部松量、结构、弹性和动作类型,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth,,,需要评估抬臂、坐下、弯腰、走动等动作,,只看静态尺寸；局部结构、缝线或材料弹性未知,,,,不得用“宽松所以一定舒服”“含弹所以任何动作都行”替代实际动作判断。；只看静态尺寸；局部结构、缝线或材料弹性未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-FIT-003,静态合身检查不能替代动作检查,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth,,,穿着任务包含明显动作或长时间姿势时,,纯视觉概念内容、不涉及穿着选择；没有真实商品却声称已验证,,,,不得把一次站立试穿结果扩大为全天舒适或所有动作适合。；纯视觉概念内容、不涉及穿着选择；没有真实商品却声称已验证,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-001,保暖是材料与服装系统共同形成的结果,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""garment_conditions"": ""结构、厚度、空气层和多层组合可知"", ""scene_conditions"": ""温度、风、湿度或室内外切换至少有基本判断""}",,P1_dressing_decision；P2_product_truth,,,比较具体服装或面料组合的热感与保暖预期,,高风环境但外层不防风；潮湿压缩后空气层减少；只知道纤维成分而不知道结构,,,,不得写成“羊毛一定保暖”“克重越高一定越暖”；测试热阻也不等于保证个人舒适。；高风环境但外层不防风；潮湿压缩后空气层减少；只知道纤维成分而不知道结构,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-002,吸湿、导湿、干燥、空气渗透和水蒸气传递是不同概念,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""日常服装热湿舒适表达""}",,P1_dressing_decision；P2_product_truth,,,,,,,,,不得因纤维吸湿就宣称整件衣服一定排汗、快干或透气。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-003,空气渗透率主要受孔隙与结构影响，不由纤维名单独决定,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth,,,需要解释闷、透风、防风或空气交换时,,存在膜、涂层、复合结构或未知整理；仅知道“棉/涤纶/羊毛”等纤维名,,,,不得把“棉=透气”“聚酯=不透气”作为商品结论。；存在膜、涂层、复合结构或未知整理；仅知道“棉/涤纶/羊毛”等纤维名,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
